web-scraper-order,link-href,claim,label
,,A Facebook post claimed that Bill Gates says there will be no publicmass gatherings in the light of COVID19 pandemic until everyone is vaccinated.,0
1642736299-184,https://www.rappler.com/newsbreak/fact-check/bill-gates-created-covid-19-moderna-vaccine/,"Bill Gates was responsible for creating SarsCoV2, the virus that causes the disease COVID19, and then created Modernas COVID19 vaccine as a solution. The video where this claim was made implies that Gates did this in order to make a profit.",0
,https://drive.google.com/drive/u/1/folders/1B0zKhU3_8BmZFL5IwrzmEiY5dRp73ppH?fbclid=IwAR0iJSYqFzYulnHoKbRsOx1aj3zlX4SIL_yOYBt-M2iOcU2t71OMLr0VVUw,We don't need COVID19 vaccines.,0
,,"An image purportedly showing an article about flu vaccination has been shared hundreds of times in multiple posts on Facebook and Twitter posts alongside a claim that flu vaccines can make people more vulnerable to infections. The posts, shared in May 2020 during the ongoing coronavirus pandemic, add that those who receive flu shots are the first to die in an actual global pandemic.",0
,,"Vaccineinduced mortality in children is 50 times higher than that of COVID19. The number of vaccine deaths in the first half of 2021 exceeds 5,000, although the vaccine tests on children is still ongoing",0
,https://www.poynter.org/?ifcn_misinformation=bill-gates-said-in-a-tv-interview-that-people-dont-have-a-choice-when-it-comes-to-vaccination-for-covid-19, Bill Gates said in a TV interview that people don't have a choice when it comes to vaccination for COVID19.,0
,,Coronavirus patient arrested in Punjab,0
,https://drive.google.com/drive/u/1/folders/1B0zKhU3_8BmZFL5IwrzmEiY5dRp73ppH?fbclid=IwAR0iJSYqFzYulnHoKbRsOx1aj3zlX4SIL_yOYBt-M2iOcU2t71OMLr0VVUw,There are drugs I can take to prevent COVID19. Vaccines are of no value.,0
1642742158-473,https://www.rappler.com/world/asia-pacific/thai-bus-brings-vaccines-bangkok-vulnerable/,"All aboard! Thai bus brings vaccines to Bangkoks vulnerable. In an effort to reach those who find it hard to travel far from their homes, the Bangkok city administration creates a bus equipped with a mobile vaccination team",1
,,Bill Gates and George Soros will use COVID19 tests to secretly vaccinate people who havent yet received the shots.,0
1637040611-126,https://www.rappler.com/technology/youtube-to-remove-covid-vaccine-misinformation,YouTube to remove COVID19 vaccine misinformation,1
1637040492-82,https://www.rappler.com/nation/philippines-joins-global-facility-access-covid-19-vaccine,PH joins COVID19 vaccine global access facility,1
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J16,Vaccine trials for the use of other COVID19 vaccines in children and adolescents are ongoing and WHO will update its recommendations when the evidence or epidemiological situation justifies a change in policy.,1
,,"Bill Gates, who is supporting COVID19 vaccine research, visited in New Zealand during May.",0
,,"No, a vaccine will not be required to obtain a visa for Europe.",0
1637040626-132,https://www.rappler.com/nation/doh-short-10-billion-covid-19-vaccines,DOH short of P10 billion for COVID19 vaccines,1
,,Photo of a vaccine developed by U.S. scientists for COVID19.,0
1637040479-77,https://www.rappler.com/nation/deped-postpones-face-to-face-classes-covid-19-vaccine-available,DepEd postpones facetoface classes until COVID19 vaccine is available,1
,,"The Pfizer COVID19 vaccine is 99% graphene oxide, which is toxic to the human body and causes a number of problems.",0
1637040550-104,https://www.rappler.com/science/life-health/covid-19-vaccine-developers-pledge-uphold-scientific-integrity,9 COVID19 vaccine developers pledge to uphold scientific integrity,1
1642745559-819,https://www.rappler.com/nation/general-santos-moves-covid19-inoculate-residents/,"General Santos moves to inoculate 100,000 residents in 3 days. 'We only need to vaccinate at least 55 in every purok, and we can hit our target,' says city health officer Dr. Rochelle Oco",1
1643704312-1233,https://www.snopes.com/fact-check/pfizer-albert-bourla-arrested/,"The CEO of Pfizer, Albert Bourla, was arrested for fraud in November 2021.",0
,,Alibaba Group founder Jack Ma gave US$5 million to a Filipino student who developed a vaccine for novel coronavirus.,0
,,Photo shows people protesting against vaccine tyranny in France,0
1643700643-997,https://www.snopes.com/fact-check/betty-white-covid-vaccine-booster/,"On Dec. 28, 2021, three days before her death, Betty White said Eat healthy and get all your vaccines. I just got boosted today.",0
,https://www.poynter.org/?ifcn_misinformation=coronavirus-is-activated-by-the-flu-vaccine, Coronavirus is activated by the flu vaccine.,0
,https://twitter.com/ReutersUK/status/1272744466789666816,UK funds human trials of potential COVID19 vaccine from Imperial  httpsreut.rs2Y6A76Z pic.twitter.comBMOkj9JYXL,1
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J35,"In general, the COVID19 vaccines are very effective at preventing serious illness, hospitalization and death from all current virus variants. They are less effective at protecting you against infection and mild disease than they were for earlier virus variants but if you do get ill after being vaccinated, your symptoms are more likely to be mild.",1
,,Get a #COVID19 vaccine. COVID19 changed our way of life. Vaccines are our chance to take charge of our health and do our part to help stop this pandemic. Learn more httpsbit.ly2RZT4HL.,1
1637040586-117,https://www.rappler.com/nation/fda-says-covid-19-vaccine-philippines-april-2021-best-case-scenario,FDA says 'best case scenario' of COVID19 vaccine in PH is April 2021,1
,https://twitter.com/ReutersUK/status/1269918344192409600,Oxford Biomedica eyes UK supply boost of AstraZeneca's COVID19 vaccine  httpsreut.rs2Uoqf6p pic.twitter.comAgQfNdqzER,1
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"At the screening area, the personnel assigned shall scan the individual's QR or Unique Code before they are clinically assessed for COVID19 symptoms, comorbidities, and other important clinical information. Contraindications and precautions stated in the EUA issued by the Philippine FDA shall be followed for all vaccines.",1
,,An Italian politician says that according to the science journal Nature the vaccine against COVID19 is not needed because the virus changes rapidly.,0
,,"Most people get both #COVID19 vaccine doses from the same location, but you dont have to. You can get your second shot in a different facility or state. Bring your vaccination card to your second appointment so you get the correct shot. More httpsbit.ly3gqwYIO ",1
1637040603-123,https://www.rappler.com/business/world-bank-approves-billions-for-covid-19-vaccines-october-13-2020,World Bank approves $12 billion for COVID19 vaccines,1
,,"Says Bill Gates said, We need to develop a digital certificate that shows who has received all the vaccinations. Only those with all the required vaccinations may travel, visit churches, participate in sports and music events, get a job, etc.",0
1637034726-467,https://www.rappler.com/newsbreak/fact-check/video-shows-nanobots-inside-covid-19-vaccines,A video circulating on Facebook shows nanobots inside COVID19 vaccines. These nanobots can supposedly alter human DNA.,0
,,#PrepYourHealth for #hurricane season during the #COVID19 pandemic. Make an emergency plan and get a COVID19 vaccine for every family member over 12 as soon as you can. For more ways to keep yourself and loved ones safe httpsbit.ly3pAfGv7. #HurricanePrep,1
,,Thank you Health Minister mansukhmandviya for announcing #India will resume crucial #COVID19 vaccine shipments to #COVAX in October. This is an important development in support of reaching the 40% vaccination target in all countries by the end of the year. #VaccinEquity,1
,,People who have received flu vaccines in the past three to five years will probably test positive for COVID19.,0
,,"The Mental Health Association of Essex  Morris in #NJ increased vaccine confidence by educating staff on #COVID19 vaccines early, tailoring education materials to patient needs  bringing vaccines to patients and the wider community. More httpsbit.ly3rmnhyh",1
,,Screenshot shows 109 coronavirus cases in a Calis neighborhood in Colombia.,0
,https://www.poynter.org/?ifcn_misinformation=italian-mp-sara-cunial-says-bill-gates-kills-people-with-vaccines-and-terminator-seeds-and-that-he-is-behind-the-covid-19-pandemic," Italian MP Sara Cunial says Bill Gates kills people with vaccines and terminator seeds, and that he is behind the COVID19 pandemic.",0
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"All Filipinos, including OFWs, and other groups with legal residency status in the Philippines i.e. foreign nationals, diplomats, etc. shall be included in the priority group appropriate to their circumstance. For example, said individuals meeting the eligibility criteria for priority group A2 senior citizens or A3 adults with controlled comorbidities may masterlist with their respective LGUs subject to supply availability.",1
,,The vaccine against COVID19 is finally ready.,0
1637040581-115,https://www.rappler.com/world/global-affairs/over-60-wealthy-nations-join-who-covid-19-vaccine-plan,Over 60 wealthy nations join WHO's COVID19 vaccine plan,1
,,"A viral message circulating on WhatsApp claims that a vaccine would be available in September 2020, thus ending speculation that the vaccine would not be available until 2021.",0
,,Barack Obama warned Africans against coronavirus vaccines.,0
1637040631-134,https://www.rappler.com/video/daily-wrap/october-19-2020-evening-edition,DOH needs P10 billion more for COVID19 vaccine  Evening wRap,1
,,"A WhatsApp forward claims that the COVID19 vaccine is ready, was announced by U.S. President Donald Trump, and will be launched next Sunday. It also claims that the vaccine discovered by the U.S. scientists can cure a COVID19 infected patient within 3 hours. With the WhatsApp forward, the alleged image of the vaccine is also being shared.",0
1642743959-669,https://www.rappler.com/nation/analysis-findings-vaccinating-elders-vs-covid-19-biggest-impact-hospitalizations/,"Vaccinating elders has biggest impact on hospitalizations  analysis. Analytics and life science data firm Airfinity finds that in six highlyvaccinated countries, 'a small change in vaccine coverage for those aged over 65 can have a significant impact on hospitalization'",1
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"COVID19 vaccines have different recommended temperature requirements and the deployment plan is ready for the possible requirements of different vaccines  a refrigerated 2C to 8C, b frozen 15C to 25C, and c ultracold 70C to 80C.",1
,https://twitter.com/IndiaToday/status/1259085917651783681,"The inspiring story of Vinay Bublani, the deputy commissioner at Shaheed Bhagat Singh Nagar, the district at the heart of #Punjab's Doaba belt which has NRIs across the world, who tackled the spread of #Covid19 among returnees. 4n#IndiaTodayMagazine httpswww.indiatoday.inmagazinenationstory20200511workingtoaplan167335520200502",1
,,Dr Anthony Fauci said a COVID19 vaccine must be delivered to people without proper studies being carried out.,0
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J86,you should get vaccinated if you are planning to get pregnant.,1
,,Israeli scientists at the MIGAL Research Institute have developed a vaccine for COVID19.,0
,https://www.poynter.org/?ifcn_misinformation=the-first-volunteer-for-the-new-covid-19-vaccine-died, The first volunteer for the new COVID19 vaccine died.,0
,,A picture of a beach in Catania Sicily packed with people which was allegedly shot during the COVID19 pandemic,0
,https://www.poynter.org/?ifcn_misinformation=a-whatsapp-forward-is-doing-the-rounds-claiming-that-the-covid-19-vaccine-is-ready-and-as-announced-by-us-president-donald-trump-it-will-be-launched-next-sunday-it-also-claims-that-the-vaccine-disco," A WhatsApp forward claims that the COVID19 vaccine is ready, was announced by U.S. President Donald Trump, and will be launched next Sunday. It also claims that the vaccine discovered by the U.S. scientists can cure a COVID19 infected patient within 3 hours. With the WhatsApp forward, the alleged image of the vaccine is also being shared.",0
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J24,The immunity people get from being vaccinated after having a natural infection is consistently very strong. Getting vaccinated even if you have had COVID19 means you are more likely to be protected for longer.,1
,,"The text claims that mass media owners, called Satanists in the text, are forcing the public to voluntarily look for a coronavirus vaccine. It also describes the vaccine which still does not exist as A vaccine in which the beasts mark is present in liquid form with nanotechnology, and he will completely control the world and all people.",0
,,Recent news and media claims that the Tuberculosis vaccine BCG may be effective against COVID19,0
,,"Researchers from Oxford University are offering Ksh100,000 to Kenyan volunteers for a COVID 19 vaccine trial.",0
,,How to make COVID vaccine at home' was the second most searched Google query last month!,1
1637034270-426,https://www.rappler.com/newsbreak/fact-check/makati-medical-center-says-covid-19-vaccines-weaken-immune-system,The Makati Medical Center MMC released an advisory that said COVID19 vaccines weaken the immune system.,0
1642746375-897,https://www.rappler.com/world/us-canada/united-states-cdc-advisors-weigh-limits-johnson-and-johnson-covid-19-vaccines/,US CDC advisors to weigh limits on JJ vaccine due to blood clot issues  report. The CDC's Advisory Committee on Immunization Practices will be presented new data that appears to show the rate of clots in people who received the Johnson  Johnson vaccine has increased since April,1
1642735508-119,https://www.rappler.com/newsbreak/fact-check/covid-19-vaccines-barcodes-for-life/,COVID19 vaccines do not work the way they were described in the video where the claim came from. They are not used to track or identify people.,1
,,Coronavirus vaccine just around the corner. Numerous Danish news reports stating that all kinds of vaccines are just about ready.,0
,,"A French doctor is quoted as saying that US billionaire Bill Gates wants to sell a COVID19 vaccine in Africa, but its poisonous and will destroy Africa.",0
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,Healthcare workers must inform patients of the benefits they will receive from getting vaccinated versus developing the immunity from the natural disease. Emphasize that prevention is always better than cure.,1
1637040498-84,https://www.rappler.com/nation/duterte-pleads-xi-jinping-prioritize-philippines-covid-19-vaccine-sona-2020-speech,Duterte pleads with Xi Jinping Prioritize PH for COVID19 vaccine,1
,,The Israel Ministry of Health announced that the Covid19 vaccines are ineffective against the delta variant.,0
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"The LGU or zones will determine the scheduling for vaccination. The Vaccine Information Management System VIMS platform shall be used for scheduling, notifying, and reminding individuals of their scheduled vaccination.",1
1642735648-135,https://www.rappler.com/newsbreak/fact-check/covid-19-vaccines-kill-elderly-people/,"As of Friday, April 30, there is no proof that the deaths of the elderly who received the COVID19 vaccine are linked to the vaccine.",1
,,A 13yearold girl is now in critical care in the hospital here in Halifax because her heart stopped right after she had a vaccine.,0
,,"Switzerland already has the coronavirus vaccine  In 6 months he hopes to have the entire population of his country sic vaccinated and then export to the rest of the world, says the image.",0
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,Patients with comorbidities belong to groups that may have an increased risk of getting severe COVID19 if infected and would thus benefit from the protection immunization offers. The currently available vaccines in the country may be administered to individuals who have wellcontrolled comorbidities.,1
,https://twitter.com/IndiaToday/status/1240493155377491968,"How aware is rural Punjab about #Coronavirus threat People think onion, water and liquor can cure Covid19. India Today's ManjeetSehgal speaks to some villagers to know more. #ReporterDiary More videos  httpbit.lyIndiaTodaySocial pic.twitter.com7HHcm3ptmR",1
,,"Bill Gates already has his vaccine ready for you against covic19, ed., And heres the patent.",0
,,Assassination of the Tunisian doctor Mahmoud Bazarti after his announcement of finding a successful vaccine for COVID19 in Germany.,0
1642745828-851,https://www.rappler.com/world/africa/extreme-vaccine-discrimination-risks-leaving-africa-behind/,"Extreme vaccine discrimination risks leaving Africa behind  report. Only five of Africa's 54 countries are on track to reach a World Health Organization target of fully vaccinating 40% of the population by end2021, the Mo Ibrahim Foundation says",1
,,"Advisory Committee on Immunization Practices ACIP recommends third authorized #COVID19 vaccine for use in the U.S.,  CDC has adopted the recommendation. CDC recommends vaccines are offered first to people ACIP identified as a priority population. More httpsbit.ly3b2FcUs",1
,,Sweden has banned mandatory vaccination.,0
,,New CDCMMWR shows all 3 #COVID19 vaccines used in the US provide strong protection against COVID19 hospitalizations. The best vaccine is the one thats available to you now. #SleeveUp. More httpbit.lyMMWR91721,1
,https://www.poynter.org/?ifcn_misinformation=a-video-showcasing-successful-trials-completed-for-covid-19-vaccine-developed-by-pgimer-in-india," A video showcasing successful trials completed for COVID19 vaccine developed by PGIMER, in India.",0
1637034376-435,https://www.rappler.com/newsbreak/fact-check/covid-19-vaccines-make-recipients-magnetic,"A video posted on Facebook on Tuesday, May 25, claimed that people who received COVID19 jabs become magnetic. This can supposedly be detected by attaching magnets to ones upper arm after getting vaccinated.",0
,https://www.poynter.org/?ifcn_misinformation=a-vaccine-against-polio-funded-by-bill-gates-has-paralysed-almost-500-000-children-in-india-between-2000-and-2017, A vaccine against polio funded by Bill Gates has paralysed almost 500 000 children in India between 2000 and 2017.,0
,,"Many people with disabilities have conditions like diabetes, cancer, heart disease, or obesity that increase their risk of getting very sick from #COVID19. Talk to your doctor about your health conditions and about getting a COVID19 vaccine. More httpsbit.ly2P6j9nh.",1
1642744155-685,https://www.rappler.com/technology/social-media/facebook-youtube-take-down-jair-bolsonaro-video-false-vaccine-claim/,"Facebook, YouTube take down Bolsonaro video over false vaccine claim. The video by Brazilian President Jair Bolsonaro falsely claims COVID19 vaccines were linked with developing AIDS",0
,https://www.who.int/news-room/feature-stories/detail/vaccine-efficacy-effectiveness-and-protection?fbclid=IwAR3b9GmJY0a-BNj7MOSgZSHHKwawgs-7SofXSECx8qt47xmJJ30ItCm4uIE,"After being vaccinated, individuals should continue taking simple precautions, such as physical distancing, wearing a mask, keeping rooms well ventilated, avoiding crowds, cleaning hands, and coughing into a bent elbow or tissue. Get tested if you are sick, even if youve been vaccinated.",1
,https://drive.google.com/drive/u/1/folders/1B0zKhU3_8BmZFL5IwrzmEiY5dRp73ppH?fbclid=IwAR0iJSYqFzYulnHoKbRsOx1aj3zlX4SIL_yOYBt-M2iOcU2t71OMLr0VVUw,The COVID19 vaccine will cause reinfection for those who have already full recovered.,0
,,Ecuadorian doctor develops a vaccine for COVID19.,0
,https://www.poynter.org/?ifcn_misinformation=bill-gates-admits-his-covid-19-vaccine-might-kill-nearly-1-million-people, Bill Gates admits his COVID19 vaccine might kill nearly 1 million people.,0
,,Get a #COVID19 vaccine as soon as you can. You can take the lead and help stop this pandemic. The virus that causes COVID19 spreads from person to person. Its your turn to do your part to help end the pandemic by getting vaccinated. More httpsbit.ly2RZT4HL.,1
,,There is no home vaccination against coronavirus in Cuba.,0
,,A Facebook publication ensures that there is a new generation of genetic vaccines ready to be inoculated in the world population.,0
,https://www.poynter.org/?ifcn_misinformation=bill-gates-wants-to-implant-microchips-in-vaccines-using-the-id2020-alliance, Bill Gates wants to implant microchips in vaccines using the ID2020 Alliance.,0
,,"Pregnant and recently pregnant people are more likely to get very sick and die from #COVID19. More than 120,000 pregnant people have had COVID19 since Jan 22, 2020. If you are pregnant, get vaccinated  take steps to protect yourself  your baby. More httpsbit.lyCDTpregnant ",1
,,Croatian doctor claims that coronavirus was created by 5G network with the goal to force obligatory vaccination.,0
,,Israel has already developed a vaccine against COVID19,0
,https://twitter.com/guardiannews/status/1240756569807167489,"Guardian front page, Friday 20 March 2020 trials to begin on Covid19 vaccine in UK next month  pic.twitter.comBZfNEiIFpl",1
,https://www.poynter.org/?ifcn_misinformation=covid-19-vaccine-trial-killed-7-children-in-senegal, COVID19 vaccine trial killed 7 children in Senegal.,0
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J9,"Getting vaccinated could save your life. COVID19 vaccines provide strong protection against serious illness, hospitalization and death. There is also some evidence that being vaccinated will make it less likely that you will pass the virus on to others, which means your decision to get the vaccine also protects those around you.",1
1637034646-448,https://www.rappler.com/newsbreak/fact-check/pfizer-mrna-vaccines-cause-viral-shedding,Pfizer messenger RNA mRNA vaccines cause viral shedding.,0
1643703219-1181,https://www.snopes.com/fact-check/austria-mandatory-covid-vaccination/,"In November 2021, Austria's federal government announced it would impose mandatory nationwide COVID19 vaccination from February 2022 onwards.",1
,https://www.poynter.org/?ifcn_misinformation=cattle-vaccine-is-related-to-covid-19-the-current-panic-overblown-by-media," Cattle vaccine is related to COVID19, the current panic overblown by media.",0
,,Doctor says in a video We must all go out to get infected to end the pandemic. Vaccines are going to infect us with another disease. Fear causes other illnesses.,0
,https://www.poynter.org/?ifcn_misinformation=bill-gates-claims-and-announces-that-vaccinations-will-be-mandatory-for-all, Bill Gates claims and announces that vaccinations will be mandatory for all.,0
,,"A video where a woman dressed like a Chef prepares food with only one glove, and she blows on it with no protections. The video would have been shot in Africa during the COVID19 pandemic.",0
,,"A screenshot of an article about the link between coronavirus and 5G, which Dutch news medium De Telegraaf alledgedly published and deleted.",0
,,"#COVID19 vaccines are effective at keeping you from getting COVID19. If you are fully vaccinated, you can resume activities that you did prior to the pandemic. If you have questions about the vaccines, check out the COVID19 Vaccine #FAQ page httpsbit.ly3xpHtRN.",1
,,Funeral directors say no one is dying from COVID and the only ones dying are from the vaccine.,0
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J33,WHOauthorised COVID19 vaccines have been safely given to billions of people.,1
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"Vaccines are some of the most rigorously tested medical products today, and the COVID19 vaccines are no different. The fact that the COVID19 vaccines are available for use less than a year since the virus was discovered was not because corners were cut in the conduct of the clinical trials.",1
,,"For some #COVID19 vaccines, you need 2 shots to get the most protection. The timing between shots depends on which one you receive.  PfizerBioNTech 3 weeks 21 days after your first shot  Moderna 1 month 28 days after your first shot More httpsbit.ly2RfAtaM",1
,https://www.who.int/news-room/feature-stories/detail/getting-the-covid-19-vaccine?fbclid=IwAR2UhA3vYgo1h4-V8MaDPOKFw9ZLER5GUE6OlXwkF9wAwNSjRwhMprW0mQo,"Even if youve had a previous infection, the vaccine acts as a booster that strengthens the immune response. There have also been some instances of people infected with SARSCoV2 a second time, which makes getting vaccinated even more important.",1
,https://www.poynter.org/?ifcn_misinformation=bill-gates-said-that-the-covid-19-vaccine-will-permanently-change-your-dna, Bill Gates said that the COVID19 vaccine will permanently change your DNA.,0
,https://www.poynter.org/?ifcn_misinformation=french-champion-of-chloroquine-didier-raoult-is-supposed-to-have-said-not-to-use-bill-gates-vaccines, French champion of chloroquine Didier Raoult is supposed to have said not to use Bill Gates' vaccines.,0
,,"A man claims his dog was vaccinated for coronavirus, thus the SARSCov2 is not really a new virus.",0
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"The COVID19 Vaccine Information Management System  Immunization Registry VIMSIR shall be the official platform for masterlisting and preregistration of individuals for COVID19 vaccination. The VIMS platform shall also enable use of information and communications technology for scheduling, notification, and vaccination reminders.",1
,,"A widelycirculated image claims to reveal the ingredients contained in this years flu shots. The alleged ingredients include mercury, antifreeze, phenol, animal blood, animal viruses, and formaldehyde.",0
,,First volunteer in UK coronavirus vaccine trial has died.,0
1642735296-94,https://www.rappler.com/newsbreak/fact-check/covid-19-vaccine-modify-dna/,Modernas mRNA COVID19 vaccine can alter human DNA.,0
,,The vaccine for coronavirus is ready as of July 7.,0
,,U.S. government planning to force Americans to take vaccinations during the coronavirus pandemic with the help of Bill Gates.,0
,,Vaccines are the most critical tool to end the #COVID19 pandemic but 73% of all doses have been administered in just 10 countries highincome countries have administered 61 times more dosesinhabitant than lowincome countries,1
,https://doh.gov.ph/Vaccines/Am-I-eligible-to-get-the-COVID-19-vaccine?fbclid=IwAR3VVKq3UOLAUuX5WG4qhnyf-sc-vzC8-8DWdX8dV-L3rosT7xuZFEclYsU,"Breastfeeding women can receive a COVID19 vaccine. However, Gamaleya vaccine shall not be administered to the pregnant and breastfeeding populations. The World Health Organization states that if a breastfeeding woman is part of a group recommended for vaccination for example, healthcare workers, vaccination can be offered. It is not recommended to discontinue breastfeeding before or after vaccination.",1
,,Says Dr. Anthony Fauci stands to lose 100 million dollars on Bill Gates vaccine for the coronavirus. Because he invested in this vaccine.,0
,https://www.who.int/news-room/feature-stories/detail/side-effects-of-covid-19-vaccines?fbclid=IwAR00VsoRmucLQc_pS1vkTmMk0akNCV8UcrG4Syx7TBrheZVRQlcx9lPVa4w,"National authorities and international bodies, including WHO, are closely monitoring for any unexpected side effects following COVID19 vaccine use.",1
,,Poland stands up against compulsory vaccination.,0
1642736021-163,https://www.rappler.com/newsbreak/fact-check/astrazeneca-covid-19-vaccine-causes-blood-clots/,"While there is a possibility of blood clotting following vaccination of AstraZenecas coronavirus vaccine, studies show these cases are very rare. Health experts worldwide have concluded that the benefits of the vaccine outweigh the risks.",1
,,Pregnant people are at higher risk of severe illness and death from #COVID19 compared to non pregnant people of reproductive age. Health care providers can offer accurate vaccine information to increase COVID19 vaccination among pregnant people. More httpbit.lyMMWR61521,1
,,"Emmanuel Macron said the African people no longer will travel to Europe, if they refused to use the European vaccine against COVID19.",0
,,"The Democrats are pushing for an implanted microchip in humans, and everyone to be vaccinated.",0
,https://twitter.com/CDCgov/status/1275499872062443521,"Parents Newborn visits should be done in person to measure your baby's growth, check for jaundice, and make sure newborn screening tests are done.  Learn more about the importance of well visits and routine vaccines during COVID19  httpsbit.ly37xWLrS. pic.twitter.comJvm5lbP5Vq",1
,,"Global leaders attending the #COVIDSummit commit further financing, dose donations, support for country readiness and delivery and scaleup of global manufacturing, to enable equitable access to #COVID19 vaccines",1
,,"A WhatsApp a video features Rabbi Dan Ben Avraham, International President of the Netzarita AMI Alliance, according to their Twitter. In the video, the rabbi says the Israeli Minister of Health has officially declared that Israel has the coronavirus vaccine. And Israel has the vaccine already.",0
1642735630-133,https://www.rappler.com/newsbreak/fact-check/covid-19-vaccines-not-proven-safe-effective/,"A number of experts and health organizations have deemed the COVID19 vaccines being released as safe and effective, including the World Health Organization, the US Centers for Disease Control and Prevention, Johns Hopkins Medicine, and the Philippine Department of Health.",1
,,Scientists from Australia create the first vaccine for novel coronavirus,0
1642736230-180,https://www.rappler.com/newsbreak/fact-check/vaccines-do-not-protect-vs-covid-19-kill-people-instead/,"Individuals who experience adverse side effects due to COVID19 vaccines remain to be the rare cases, affecting only 1 in 100,000 for AstraZeneca and only 1 in 122,000 for Johnson  Johnson.",1
1642744024-673,https://www.rappler.com/business/businesses-cannot-compel-staff-get-vaccinated-menardo-guevarra/,Businesses cant compel staff to get vaccinated  Guevarra. Justice Secretary Menardo Guevarra says he disagrees with Labor Secretary Silvestre Bello III's earlier statement that the IATF resolution allows businesses to hold unvaccinated workers' pay,1
,,Cancer increased twentyfold among COVID19 vaccinated due to suppressed T cells,0
,,"COVID19 vaccines are an experiment and instead of protecting people against the disease, the vaccines will kill those who receive it.",0
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"Emerging data seems to suggest that the current vaccines protect against the new variants. However, definitive studies are still under way to determine whether the vaccines currently being used will protect against the new variants.",1
1637033977-398,https://www.rappler.com/newsbreak/fact-check/sotto-says-two-doses-sinovac-one-hundred-percent-efficacy,"Senate President Vicente Sotto III suggested that, because the Sinovac COVID19 vaccine had a 50.4% efficacy rate in a Brazillian trial, two doses of it would result in 100% efficacy.",0
,https://www.poynter.org/?ifcn_misinformation=france-found-a-vaccine-against-coronavirus, France found a vaccine for the coronavirus.,0
